pickup_location,day_of_week_pickup_sin,day_of_week_pickup_cos,pickup_time_sin,pickup_time_cos,probability_pickup
1,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210294e-16,0.00630285623105154
1,-0.9749279121818236,-0.2225209339563146,-0.9659258262890684,-0.2588190451025206,0.006701771182383916
1,-0.9749279121818236,-0.2225209339563146,-0.9659258262890684,0.2588190451025203,0.0044678474549226105
1,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0032711026009254827
1,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,0.009972873783309398
1,-0.9749279121818236,-0.2225209339563146,-0.7071067811865477,0.7071067811865474,0.00215414073719483
1,-0.9749279121818236,-0.2225209339563146,-0.7071067811865471,-0.7071067811865479,0.009494175841710547
1,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0.0005584809318653263
1,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0.007499601085048668
1,-0.9749279121818236,-0.2225209339563146,-0.2588190451025215,0.965925826289068,0.0005584809318653263
1,-0.9749279121818236,-0.2225209339563146,-0.2588190451025208,-0.9659258262890684,0.005584809318653263
1,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.0007180469123982767
1,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.003829583532790809
1,-0.9749279121818236,-0.2225209339563146,0.2588190451025207,0.9659258262890684,0.00031913196106590075
1,-0.9749279121818236,-0.2225209339563146,0.258819045102521,-0.9659258262890682,0.0044678474549226105
1,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,-0.8660254037844387,0.0031913196106590075
1,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0.0007978299026647519
1,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,-0.7071067811865475,0.003350885591191958
1,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0.0011967448539971278
1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.002074357746928355
1,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.003909366523057284
1,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,-0.2588190451025206,0.005505026328386788
1,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0.004707196425722036
1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.004946545396521462
1,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210294e-16,0.006542205201850965
1,-0.7818314824680299,0.6234898018587334,-0.9659258262890684,-0.2588190451025206,0.008696345939045795
1,-0.7818314824680299,0.6234898018587334,-0.9659258262890684,0.2588190451025203,0.006223073240785065
1,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0.004388064464656135
1,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,0.013164193393968406
1,-0.7818314824680299,0.6234898018587334,-0.7071067811865477,0.7071067811865474,0.0018350087761289293
1,-0.7818314824680299,0.6234898018587334,-0.7071067811865471,-0.7071067811865479,0.013962023296633158
1,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,0.0011169618637306526
1,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0.0109302696665071
1,-0.7818314824680299,0.6234898018587334,-0.2588190451025215,0.965925826289068,0.00031913196106590075
1,-0.7818314824680299,0.6234898018587334,-0.2588190451025208,-0.9659258262890684,0.00877612892931227
1,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.00031913196106590075
1,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0.007180469123982767
1,-0.7818314824680299,0.6234898018587334,0.2588190451025207,0.9659258262890684,0.0005584809318653263
1,-0.7818314824680299,0.6234898018587334,0.258819045102521,-0.9659258262890682,0.006701771182383916
1,-0.7818314824680299,0.6234898018587334,0.4999999999999999,-0.8660254037844387,0.00430828147438966
1,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0.00015956598053295037
1,-0.7818314824680299,0.6234898018587334,0.7071067811865476,-0.7071067811865475,0.0044678474549226105
1,-0.7818314824680299,0.6234898018587334,0.7071067811865476,0.7071067811865476,0.001276527844263603
1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.0032711026009254827
1,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.0044678474549226105
1,-0.7818314824680299,0.6234898018587334,0.9659258262890684,-0.2588190451025206,0.00430828147438966
1,-0.7818314824680299,0.6234898018587334,0.9659258262890684,0.2588190451025207,0.002632838678793681
1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.0053454603478538375
1,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,0.00829743098771342
1,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,-0.2588190451025206,0.007978299026647519
1,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,0.2588190451025203,0.007738950055848093
1,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0.003031753630126057
1,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0.009972873783309398
1,-0.433883739117558,-0.9009688679024191,-0.7071067811865477,0.7071067811865474,0.0013563108345300782
1,-0.433883739117558,-0.9009688679024191,-0.7071067811865471,-0.7071067811865479,0.008536779958512845
