road_length,zone_id
84414.0,0
12534.0,1
73892.0,2
17180.0,3
78034.0,4
102370.0,5
89935.0,6
5899.0,7
93587.0,8
14943.0,9
99482.0,10
65924.0,11
12823.0,12
12085.0,13
48115.0,14
28560.0,15
180694.0,16
125313.0,17
132030.0,18
268626.0,19
182861.0,20
98091.0,21
125138.0,22
36770.0,23
125973.0,24
146352.0,25
81160.0,26
73781.0,27
25322.0,28
44291.0,29
54900.0,30
43926.0,31
17269.0,32
30177.0,33
70799.0,34
81101.0,35
120990.0,36
87444.0,37
157100.0,38
30062.0,39
33587.0,40
33873.0,41
25394.0,42
61369.0,43
21257.0,44
191857.0,45
48364.0,46
32657.0,47
63436.0,48
28591.0,49
91226.0,50
13704.0,51
95154.0,52
24711.0,53
84394.0,54
43489.0,55
8277.0,56
37958.0,57
7446.0,58
43769.0,59
128159.0,60
42950.0,61
82628.0,62
163313.0,63
29378.0,64
82150.0,65
26912.0,66
98775.0,67
29313.0,68
64255.0,69
49336.0,70
51939.0,71
79352.0,72
27405.0,73
97184.0,74
64611.0,75
44019.0,76
96200.0,77
43773.0,78
251737.0,79
59487.0,80
49771.0,81
104271.0,82
13238.0,83
91192.0,84
65086.0,85
191928.0,86
13597.0,87
113805.0,88
17037.0,89
16973.0,90
148639.0,91
108130.0,92
140544.0,93
25244.0,94
138029.0,95
83450.0,96
38313.0,97
97430.0,98
74292.0,99
9133.0,100
108031.0,101
74720.0,102
130.0,103
923.0,104
6771.0,105
40981.0,106
16970.0,107
79117.0,108
174541.0,109
13761.0,110
40498.0,111
70030.0,112
15818.0,113
17808.0,114
73547.0,115
35303.0,116
100261.0,117
250372.0,118
48201.0,119
27099.0,120
99260.0,121
67689.0,122
103010.0,123
69506.0,124
95827.0,125
110449.0,126
109407.0,127
28569.0,128
7967.0,129
124880.0,130
56780.0,131
21559.0,132
111576.0,133
102649.0,134
100850.0,135
236457.0,136
42241.0,137
34341.0,138
117616.0,139
38894.0,140
19585.0,141
25153.0,142
18391.0,143
29448.0,144
49245.0,145
18711.0,146
13726.0,147
71313.0,148
32581.0,149
30859.0,150
25076.0,151
7706.0,152
66612.0,153
139919.0,154
129047.0,155
43200.0,156
88803.0,157
16522.0,158
127221.0,159
21180.0,160
14442.0,161
14086.0,162
12157.0,163
25198.0,164
104233.0,165
35358.0,166
54526.0,167
59411.0,168
99155.0,169
50590.0,170
122614.0,171
105984.0,172
52360.0,173
33553.0,174
107128.0,175
34132.0,176
102387.0,177
77789.0,178
66138.0,179
70562.0,180
23353.0,181
24507.0,182
68582.0,183
66389.0,184
7899.0,185
23375.0,186
19789.0,187
85627.0,188
75372.0,189
180912.0,190
73659.0,191
27545.0,192
46291.0,193
57661.0,194
60678.0,195
101512.0,196
117645.0,197
118028.0,198
36494.0,199
45192.0,200
131437.0,201
93415.0,202
131398.0,203
73523.0,204
14022.0,205
171837.0,206
115851.0,207
11554.0,208
181224.0,209
13943.0,210
134141.0,211
10773.0,212
117056.0,213
99640.0,214
189495.0,215
34185.0,216
61961.0,217
116318.0,218
83777.0,219
60723.0,220
14414.0,221
176269.0,222
98072.0,223
22296.0,224
140968.0,225
96354.0,226
156585.0,227
15946.0,228
16531.0,229
29895.0,230
29008.0,231
42897.0,232
24477.0,233
20271.0,234
53070.0,235
35756.0,236
34273.0,237
29426.0,238
93468.0,239
43489.0,240
97626.0,241
100031.0,242
82699.0,243
25188.0,244
45736.0,245
62189.0,246
20649.0,247
36325.0,248
52172.0,249
42668.0,250
22548.0,251
45240.0,252
71777.0,253
124521.0,254
160363.0,255
80511.0,256
35395.0,257
51799.0,258
92666.0,259
103958.0,260
20328.0,261
24291.0,262
